,Title,Year Released,Rated,Rotten Tomato,Meta Score,Plot Sentiment,Plot,Genre
0,American Graffiti,1973,PG,95,97,0.0,A couple of high school grads spend one final night cruising the strip with their buddies before they go off to college.,"Comedy, Drama"
1,The Conversation,1974,PG,98,86,-0.9169,"A paranoid, secretive surveillance expert has a crisis of conscience when he suspects that a couple, on whom he is spying, will be murdered.","Drama, Mystery, Thriller"
2,Star Wars,1977,PG,93,90,0.1531,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle-station while also attempting to rescue Princess Leia from the evil Darth Vader.","Action, Adventure, Fantasy"
3,Force 10 from Navarone,1978,PG,64,42,-0.8658,"During World War II, several oddly assorted military experts are teamed in a mission to raid and destroy a bridge vital to enemy strategy.","Action, Drama, War"
4,Apocalypse Now,1979,R,96,94,-0.7096,"During the Vietnam War, Captain Willard is sent on a dangerous mission into Cambodia to assassinate a renegade Colonel who has set himself up as a god among a local tribe.","Drama, War"
5,The Empire Strikes Back,1980,PG,94,82,-0.4019,"After the rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued by Darth Vader.","Action, Adventure, Fantasy"
6,Raiders of the Lost Ark,1981,PG,94,85,0.296,Archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before the Nazis.,"Action, Adventure"
7,Blade Runner,1982,R,90,89,0.0,A blade runner must pursue and try to terminate four replicants who stole a ship in space and have returned to Earth to find their creator.,"Sci-Fi, Thriller"
8,Return of the Jedi,1983,PG,80,58,-0.3052,"After a daring mission to rescue Han Solo from Jabba the Hutt, the rebels dispatch to Endor to destroy a more powerful Death Star. Meanwhile, Luke struggles to help Vader back from the dark side without falling into the Emperor's trap.","Action, Adventure, Fantasy"
9,Indiana Jones and the Temple of Doom,1984,PG,85,57,-0.5574,"After arriving in India, Indiana Jones is asked by a desperate village to find a mystical stone. He agrees, and stumbles upon a secret cult plotting a terrible plan in the catacombs of an ancient palace.","Action, Adventure"
10,Witness,1985,R,92,76,-0.6486,A young Amish boy is sole witness to a murder; policeman John Book goes into hiding in Amish country to protect him until the trial.,"Crime, Drama, Romance"
11,Indiana Jones and the Last Crusade,1989,PG-13,88,65,-0.5267,"When Dr. Henry Jones, Sr. suddenly goes missing while pursuing the Holy Grail, eminent archaeologist Dr. Henry ""Indiana"" Jones, Jr. must follow in his father's footsteps to stop the Nazis from getting their hands on the Holy Grail first.","Action, Adventure, Fantasy"
12,Patriot Games,1992,R,74,64,-0.8074,"When C.I.A. Analyst Jack Ryan interferes with an I.R.A. assassination, a renegade faction targets him and his family for revenge.","Action, Thriller"
13,The Fugitive,1993,PG-13,96,88,-0.8957,"Dr. Richard Kimble, unjustly accused of murdering his wife, must find the real killer while being the target of a nationwide manhunt lead by a seasoned US Marshall.","Action, Crime, Drama"
14,Clear and Present Danger,1994,PG-13,82,74,-0.8689,CIA Analyst Jack Ryan is drawn into an illegal war fought by the US government against a Colombian drug cartel.,"Action, Crime, Drama"
15,Air Force One,1997,R,78,61,-0.7096,"Hijackers seize the plane carrying the President of the United States and his family, but he - an ex-soldier - works from hiding to defeat them.","Action, Drama, Thriller"
16,The Devil's Own,1997,R,34,53,-0.7845,"A police officer uncovers the real identity of his house-guest, an I.R.A. terrorist in hiding.","Action, Crime, Drama"
17,Six Days Seven Nights,1998,PG-13,36,51,-0.6486,"Robin Monroe, a New York magazine editor, and the gruff pilot Quinn Harris must put aside their mutual dislike if they are to survive after crash landing on a deserted South Seas island.","Action, Adventure, Comedy"
18,Random Hearts,1999,R,15,38,-0.6597,"A police sergeant and a congresswoman both lose their spouses in a plane crash, and they soon discover that their spouses were having an affair with each other.","Drama, Mystery, Romance"
19,What Lies Beneath,2000,PG-13,46,51,-0.7906,The wife of a university research scientist believes that her lakeside Vermont home is haunted by a ghost - or that she is losing her mind.,"Drama, Fantasy, Horror"
20,K-19: The Widowmaker,2002,PG-13,60,58,-0.2023,"When Russia's first nuclear submarine malfunctions on its maiden voyage, the crew must race to save the ship and prevent a nuclear disaster.","Drama, History, Thriller"
