Budget,Revenue,Title,Average Vote,release_date,Release Year,"Revenue, USD mln","Budget, USD mln","Revenue Adjusted, USD mln",Revenue Adjusted,"Budget Adjusted, USD mln",Outlier,Starring Actors Popularity
92620000,650422,Metropolis,8.0,1927-01-10,1927.0,0.650422,92.62,9.301338418356844,9301338.418356843,1324.5092636906668,True,0.0
380000000,1045713802,Pirates of the Caribbean: On Stranger Tides,6.4,2011-05-14,2011.0,1045.713802,380.0,1248.6369667901722,1248636966.790172,453.7398726810201,False,7103.622020015611
300000000,961000000,Pirates of the Caribbean: At World's End,6.9,2007-05-19,2007.0,961.0,300.0,1291.5036405497015,1291503640.5497015,403.1749138032367,False,4383.529868688751
270000000,391081192,Superman Returns,5.4,2006-06-28,2006.0,391.081192,270.0,541.3478321696902,541347832.1696903,373.7431450956004,False,1555.5197554871893
200000000,1845034188,Titanic,7.5,1997-11-18,1997.0,1845.034188,200.0,3332.3369752959616,3332336975.2959614,361.22224693388296,True,324.6438211359851
258000000,890871626,Spider-Man 3,5.9,2007-05-01,2007.0,890.871626,258.0,1197.2569700743309,1197256970.074331,346.7304258707835,False,3171.497067865159
175000000,264218220,Waterworld,5.9,1995-07-28,1995.0,264.21822,175.0,506.2694320251281,506269432.0251281,335.3180965506369,False,3043.2486831275137
260000000,591794936,Tangled,7.4,2010-11-24,2010.0,591.794936,260.0,727.8331254771837,727833125.4771837,319.7672050104662,False,550.1293701959595
250000000,933959197,Harry Potter and the Half-Blood Prince,7.4,2009-07-07,2009.0,933.959197,250.0,1183.1115679964028,1183111567.9964027,316.6925203469041,False,5985.424892554964
200000000,435000000,Terminator 3: Rise of the Machines,5.9,2003-07-02,2003.0,435.0,200.0,657.9765303119736,657976530.3119737,302.51794497102236,False,5136.217883342616
260000000,284139100,John Carter,6.1,2012-03-07,2012.0,284.1391,260.0,329.3950921249351,329395092.12493515,301.411259318,False,446.666682178505
237000000,2787965087,Avatar,7.2,2009-12-10,2009.0,2787.965087,237.0,3531.710760164823,3531710760.164823,300.2245092888651,True,955.7387481223931
280000000,1405403694,Avengers: Age of Ultron,7.3,2015-04-22,2015.0,1405.403694,280.0,1490.9927789646001,1490992778.9645998,297.05199999999996,False,6120.079451798699
