Title,Actor
Avatar,Sam Worthington
Avatar,Zoe Saldana
Avatar,Sigourney Weaver
Pirates of the Caribbean: At World's End,Johnny Depp
Pirates of the Caribbean: At World's End,Orlando Bloom
Pirates of the Caribbean: At World's End,Keira Knightley
Spectre,Daniel Craig
Spectre,Christoph Waltz
Spectre,Léa Seydoux
The Dark Knight Rises,Christian Bale
The Dark Knight Rises,Michael Caine
The Dark Knight Rises,Gary Oldman
John Carter,Taylor Kitsch
John Carter,Lynn Collins
John Carter,Samantha Morton
Spider-Man 3,Tobey Maguire
Spider-Man 3,Kirsten Dunst
Spider-Man 3,James Franco
Tangled,Zachary Levi
Tangled,Mandy Moore
Tangled,Donna Murphy
Avengers: Age of Ultron,Robert Downey Jr.
Avengers: Age of Ultron,Chris Hemsworth
Avengers: Age of Ultron,Mark Ruffalo
Harry Potter and the Half-Blood Prince,Daniel Radcliffe
Harry Potter and the Half-Blood Prince,Rupert Grint
Harry Potter and the Half-Blood Prince,Emma Watson
Batman v Superman: Dawn of Justice,Ben Affleck
Batman v Superman: Dawn of Justice,Henry Cavill
Batman v Superman: Dawn of Justice,Gal Gadot
Superman Returns,Brandon Routh
Superman Returns,Kevin Spacey
Superman Returns,Kate Bosworth
Quantum of Solace,Daniel Craig
Quantum of Solace,Olga Kurylenko
Quantum of Solace,Mathieu Amalric
Pirates of the Caribbean: Dead Man's Chest,Johnny Depp
Pirates of the Caribbean: Dead Man's Chest,Orlando Bloom
Pirates of the Caribbean: Dead Man's Chest,Keira Knightley
The Lone Ranger,Johnny Depp
The Lone Ranger,Armie Hammer
The Lone Ranger,William Fichtner
Man of Steel,Henry Cavill
Man of Steel,Amy Adams
Man of Steel,Michael Shannon
The Chronicles of Narnia: Prince Caspian,Ben Barnes
The Chronicles of Narnia: Prince Caspian,William Moseley
The Chronicles of Narnia: Prince Caspian,Anna Popplewell
The Avengers,Robert Downey Jr.
The Avengers,Chris Evans
The Avengers,Mark Ruffalo
Pirates of the Caribbean: On Stranger Tides,Johnny Depp
Pirates of the Caribbean: On Stranger Tides,Penélope Cruz
Pirates of the Caribbean: On Stranger Tides,Ian McShane
Men in Black 3,Will Smith
Men in Black 3,Tommy Lee Jones
Men in Black 3,Josh Brolin
The Hobbit: The Battle of the Five Armies,Martin Freeman
The Hobbit: The Battle of the Five Armies,Ian McKellen
The Hobbit: The Battle of the Five Armies,Richard Armitage
The Amazing Spider-Man,Andrew Garfield
The Amazing Spider-Man,Emma Stone
The Amazing Spider-Man,Rhys Ifans
Robin Hood,Russell Crowe
Robin Hood,Cate Blanchett
Robin Hood,Max von Sydow
The Hobbit: The Desolation of Smaug,Martin Freeman
The Hobbit: The Desolation of Smaug,Ian McKellen
The Hobbit: The Desolation of Smaug,Richard Armitage
The Golden Compass,Dakota Blue Richards
The Golden Compass,Nicole Kidman
The Golden Compass,Daniel Craig
King Kong,Naomi Watts
King Kong,Jack Black
King Kong,Adrien Brody
Titanic,Kate Winslet
Titanic,Leonardo DiCaprio
Titanic,Frances Fisher
Captain America: Civil War,Chris Evans
Captain America: Civil War,Robert Downey Jr.
Captain America: Civil War,Scarlett Johansson
Battleship,Taylor Kitsch
Battleship,Alexander Skarsgård
Battleship,Rihanna
Jurassic World,Chris Pratt
Jurassic World,Bryce Dallas Howard
Jurassic World,Irrfan Khan
Skyfall,Daniel Craig
Skyfall,Judi Dench
Skyfall,Javier Bardem
Spider-Man 2,Tobey Maguire
Spider-Man 2,Kirsten Dunst
Spider-Man 2,James Franco
Iron Man 3,Robert Downey Jr.
Iron Man 3,Gwyneth Paltrow
Iron Man 3,Don Cheadle
Alice in Wonderland,Mia Wasikowska
Alice in Wonderland,Johnny Depp
Alice in Wonderland,Anne Hathaway
X-Men: The Last Stand,Hugh Jackman
X-Men: The Last Stand,Halle Berry
X-Men: The Last Stand,Ian McKellen
Monsters University,Billy Crystal
Monsters University,John Goodman
Monsters University,Steve Buscemi
Transformers: Revenge of the Fallen,Shia LaBeouf
Transformers: Revenge of the Fallen,Megan Fox
Transformers: Revenge of the Fallen,Josh Duhamel
Transformers: Age of Extinction,Mark Wahlberg
Transformers: Age of Extinction,Stanley Tucci
Transformers: Age of Extinction,Kelsey Grammer
Oz: The Great and Powerful,James Franco
Oz: The Great and Powerful,Mila Kunis
Oz: The Great and Powerful,Rachel Weisz
The Amazing Spider-Man 2,Andrew Garfield
The Amazing Spider-Man 2,Emma Stone
The Amazing Spider-Man 2,Jamie Foxx
TRON: Legacy,Garrett Hedlund
TRON: Legacy,Jeff Bridges
TRON: Legacy,Olivia Wilde
Cars 2,Owen Wilson
Cars 2,Larry the Cable Guy
Cars 2,Michael Caine
Green Lantern,Ryan Reynolds
Green Lantern,Blake Lively
Green Lantern,Peter Sarsgaard
Toy Story 3,Tom Hanks
Toy Story 3,Tim Allen
Toy Story 3,Ned Beatty
Terminator Salvation,Christian Bale
Terminator Salvation,Sam Worthington
Terminator Salvation,Anton Yelchin
Furious 7,Vin Diesel
Furious 7,Paul Walker
Furious 7,Dwayne Johnson
World War Z,Brad Pitt
World War Z,Mireille Enos
World War Z,Abigail Hargrove
X-Men: Days of Future Past,Hugh Jackman
X-Men: Days of Future Past,James McAvoy
X-Men: Days of Future Past,Michael Fassbender
Star Trek Into Darkness,Chris Pine
Star Trek Into Darkness,Zachary Quinto
Star Trek Into Darkness,Zoe Saldana
Jack the Giant Slayer,Nicholas Hoult
Jack the Giant Slayer,Eleanor Tomlinson
Jack the Giant Slayer,Ewan McGregor
The Great Gatsby,Leonardo DiCaprio
The Great Gatsby,Tobey Maguire
The Great Gatsby,Carey Mulligan
Prince of Persia: The Sands of Time,Jake Gyllenhaal
Prince of Persia: The Sands of Time,Gemma Arterton
Prince of Persia: The Sands of Time,Ben Kingsley
Pacific Rim,Idris Elba
Pacific Rim,Charlie Hunnam
Pacific Rim,Charlie Day
Transformers: Dark of the Moon,Shia LaBeouf
Transformers: Dark of the Moon,John Malkovich
Transformers: Dark of the Moon,Ken Jeong
Indiana Jones and the Kingdom of the Crystal Skull,Harrison Ford
Indiana Jones and the Kingdom of the Crystal Skull,Cate Blanchett
Indiana Jones and the Kingdom of the Crystal Skull,Shia LaBeouf
The Good Dinosaur,Raymond Ochoa
The Good Dinosaur,Jack Bright
The Good Dinosaur,Jeffrey Wright
Brave,Kelly Macdonald
Brave,Julie Walters
Brave,Billy Connolly
Star Trek Beyond,Chris Pine
Star Trek Beyond,Zachary Quinto
Star Trek Beyond,Karl Urban
WALL·E,Ben Burtt
WALL·E,Elissa Knight
WALL·E,Jeff Garlin
Rush Hour 3,Chris Tucker
Rush Hour 3,Jackie Chan
Rush Hour 3,Hiroyuki Sanada
2012,John Cusack
2012,Amanda Peet
2012,Chiwetel Ejiofor
A Christmas Carol,Gary Oldman
A Christmas Carol,Jim Carrey
A Christmas Carol,Steve Valentine
Jupiter Ascending,Mila Kunis
Jupiter Ascending,Channing Tatum
Jupiter Ascending,Sean Bean
The Legend of Tarzan,Alexander Skarsgård
The Legend of Tarzan,Margot Robbie
The Legend of Tarzan,Christoph Waltz
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",William Moseley
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Anna Popplewell
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Skandar Keynes
X-Men: Apocalypse,James McAvoy
