M_ID,station,date,prcp,tobs
1,USC00519397,2010-01-01,0.08,65
2,USC00519397,2010-01-02,0.0,63
3,USC00519397,2010-01-03,0.0,74
4,USC00519397,2010-01-04,0.0,76
5,USC00519397,2010-01-07,0.06,70
6,USC00519397,2010-01-08,0.0,64
7,USC00519397,2010-01-09,0.0,68
8,USC00519397,2010-01-10,0.0,73
9,USC00519397,2010-01-11,0.01,64
10,USC00519397,2010-01-12,0.0,61
11,USC00519397,2010-01-14,0.0,66
12,USC00519397,2010-01-15,0.0,65
13,USC00519397,2010-01-16,0.0,68
14,USC00519397,2010-01-17,0.0,64
15,USC00519397,2010-01-18,0.0,72
16,USC00519397,2010-01-19,0.0,66
17,USC00519397,2010-01-20,0.0,66
18,USC00519397,2010-01-21,0.0,69
19,USC00519397,2010-01-22,0.0,67
20,USC00519397,2010-01-23,0.0,67
21,USC00519397,2010-01-24,0.01,71
22,USC00519397,2010-01-25,0.0,67
23,USC00519397,2010-01-26,0.04,76
24,USC00519397,2010-01-27,0.12,68
25,USC00519397,2010-01-28,0.0,72
26,USC00519397,2010-01-31,0.03,67
27,USC00519397,2010-02-01,0.01,66
28,USC00519397,2010-02-04,0.01,69
29,USC00519397,2010-02-05,0.0,67
30,USC00519397,2010-02-06,0.0,67
31,USC00519397,2010-02-07,0.0,64
32,USC00519397,2010-02-08,0.0,69
33,USC00519397,2010-02-09,0.0,73
34,USC00519397,2010-02-11,0.0,73
35,USC00519397,2010-02-12,0.02,69
36,USC00519397,2010-02-13,0.01,69
37,USC00519397,2010-02-14,0.0,69
38,USC00519397,2010-02-15,0.0,71
39,USC00519397,2010-02-16,0.0,61
40,USC00519397,2010-02-17,0.0,69
41,USC00519397,2010-02-20,0.03,64
42,USC00519397,2010-02-21,0.0,65
43,USC00519397,2010-02-22,0.0,67
44,USC00519397,2010-02-23,0.0,68
45,USC00519397,2010-02-24,0.0,65
46,USC00519397,2010-02-25,0.0,76
47,USC00519397,2010-02-26,0.0,75
48,USC00519397,2010-02-28,0.0,66
49,USC00519397,2010-03-01,0.01,70
50,USC00519397,2010-03-02,0.0,72
51,USC00519397,2010-03-03,0.0,73
52,USC00519397,2010-03-04,0.12,70
53,USC00519397,2010-03-05,0.08,71
54,USC00519397,2010-03-06,0.03,72
55,USC00519397,2010-03-07,0.0,72
56,USC00519397,2010-03-08,0.43,69
57,USC00519397,2010-03-09,0.06,70
58,USC00519397,2010-03-12,0.0,72
59,USC00519397,2010-03-13,0.0,73
60,USC00519397,2010-03-14,0.0,70
61,USC00519397,2010-03-15,0.06,71
62,USC00519397,2010-03-17,0.0,68
63,USC00519397,2010-03-18,0.0,70
64,USC00519397,2010-03-21,0.0,72
65,USC00519397,2010-03-22,0.0,69
66,USC00519397,2010-03-23,0.0,68
67,USC00519397,2010-03-24,0.0,74
68,USC00519397,2010-03-27,0.0,72
69,USC00519397,2010-03-28,0.0,73
70,USC00519397,2010-03-29,0.0,74
71,USC00519397,2010-03-30,0.0,73
72,USC00519397,2010-03-31,0.0,73
73,USC00519397,2010-04-01,0.0,74
74,USC00519397,2010-04-02,0.01,74
75,USC00519397,2010-04-03,0.17,74
76,USC00519397,2010-04-04,0.15,71
77,USC00519397,2010-04-05,0.27,72
78,USC00519397,2010-04-06,0.01,75
79,USC00519397,2010-04-08,0.0,75
80,USC00519397,2010-04-09,0.01,75
81,USC00519397,2010-04-10,0.0,75
82,USC00519397,2010-04-11,0.01,73
83,USC00519397,2010-04-12,0.01,73
84,USC00519397,2010-04-13,0.0,71
85,USC00519397,2010-04-15,0.0,71
86,USC00519397,2010-04-16,0.01,68
87,USC00519397,2010-04-17,0.0,70
88,USC00519397,2010-04-18,0.0,71
89,USC00519397,2010-04-19,0.0,74
90,USC00519397,2010-04-20,0.04,71
91,USC00519397,2010-04-21,0.01,75
92,USC00519397,2010-04-22,0.0,76
93,USC00519397,2010-04-23,0.02,75
94,USC00519397,2010-04-24,0.0,75
95,USC00519397,2010-04-25,0.0,76
96,USC00519397,2010-04-26,0.0,76
97,USC00519397,2010-04-28,0.0,76
98,USC00519397,2010-04-30,0.0,77
99,USC00519397,2010-05-01,0.0,77
100,USC00519397,2010-05-02,0.03,73
101,USC00519397,2010-05-03,0.2,74
102,USC00519397,2010-05-04,0.08,76
103,USC00519397,2010-05-05,0.01,76
104,USC00519397,2010-05-06,0.0,80
105,USC00519397,2010-05-07,0.05,74
106,USC00519397,2010-05-08,0.0,77
107,USC00519397,2010-05-09,0.0,77
108,USC00519397,2010-05-10,0.0,76
109,USC00519397,2010-05-11,0.0,77
110,USC00519397,2010-05-13,0.0,78
111,USC00519397,2010-05-14,0.0,78
112,USC00519397,2010-05-15,0.0,75
113,USC00519397,2010-05-16,0.03,73
114,USC00519397,2010-05-17,0.0,77
115,USC00519397,2010-05-18,0.0,76
116,USC00519397,2010-05-19,0.0,77
117,USC00519397,2010-05-22,0.0,78
118,USC00519397,2010-05-23,0.05,75
119,USC00519397,2010-05-24,0.0,77
120,USC00519397,2010-05-25,0.0,77
121,USC00519397,2010-05-26,0.02,77
122,USC00519397,2010-05-27,0.0,76
123,USC00519397,2010-05-28,0.0,75
124,USC00519397,2010-05-29,0.0,77
125,USC00519397,2010-05-30,0.0,77
126,USC00519397,2010-05-31,0.0,77
127,USC00519397,2010-06-01,0.0,78
128,USC00519397,2010-06-02,0.01,76
129,USC00519397,2010-06-03,0.0,78
130,USC00519397,2010-06-04,0.0,76
131,USC00519397,2010-06-05,0.0,77
132,USC00519397,2010-06-06,0.0,78
133,USC00519397,2010-06-07,0.0,77
134,USC00519397,2010-06-08,0.0,78
135,USC00519397,2010-06-09,0.0,78
136,USC00519397,2010-06-10,0.0,79
137,USC00519397,2010-06-11,0.0,78
138,USC00519397,2010-06-12,0.0,78
139,USC00519397,2010-06-13,0.0,78
140,USC00519397,2010-06-14,0.0,77
141,USC00519397,2010-06-15,0.0,78
142,USC00519397,2010-06-16,0.0,78
143,USC00519397,2010-06-17,0.0,77
144,USC00519397,2010-06-18,0.0,77
145,USC00519397,2010-06-19,0.0,82
146,USC00519397,2010-06-20,0.0,78
