station,date,prcp,tobs,name,latitude,longitude,elevation
USC00519397,2010-01-01,0.08,65,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
USC00519397,2010-01-02,0.0,63,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
USC00519397,2010-01-03,0.0,74,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
USC00519397,2010-01-04,0.0,76,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
USC00519397,2010-01-07,0.06,70,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
USC00519397,2010-01-08,0.0,64,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
USC00519397,2010-01-09,0.0,68,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
USC00519397,2010-01-10,0.0,73,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
USC00519397,2010-01-11,0.01,64,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
USC00519397,2010-01-12,0.0,61,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
USC00519397,2010-01-14,0.0,66,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
USC00519397,2010-01-15,0.0,65,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
USC00519397,2010-01-16,0.0,68,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
USC00519397,2010-01-17,0.0,64,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
USC00519397,2010-01-18,0.0,72,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
USC00519397,2010-01-19,0.0,66,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
USC00519397,2010-01-20,0.0,66,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
USC00519397,2010-01-21,0.0,69,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
USC00519397,2010-01-22,0.0,67,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
USC00519397,2010-01-23,0.0,67,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
USC00519397,2010-01-24,0.01,71,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
USC00519397,2010-01-25,0.0,67,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
USC00519397,2010-01-26,0.04,76,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
USC00519397,2010-01-27,0.12,68,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
USC00519397,2010-01-28,0.0,72,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
USC00519397,2010-01-31,0.03,67,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
USC00519397,2010-02-01,0.01,66,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
USC00519397,2010-02-04,0.01,69,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
USC00519397,2010-02-05,0.0,67,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
USC00519397,2010-02-06,0.0,67,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
USC00519397,2010-02-07,0.0,64,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
USC00519397,2010-02-08,0.0,69,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
USC00519397,2010-02-09,0.0,73,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
USC00519397,2010-02-11,0.0,73,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
USC00519397,2010-02-12,0.02,69,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
USC00519397,2010-02-13,0.01,69,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
USC00519397,2010-02-14,0.0,69,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
USC00519397,2010-02-15,0.0,71,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
USC00519397,2010-02-16,0.0,61,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
USC00519397,2010-02-17,0.0,69,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
USC00519397,2010-02-20,0.03,64,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
USC00519397,2010-02-21,0.0,65,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
USC00519397,2010-02-22,0.0,67,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
USC00519397,2010-02-23,0.0,68,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
USC00519397,2010-02-24,0.0,65,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
USC00519397,2010-02-25,0.0,76,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
USC00519397,2010-02-26,0.0,75,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
USC00519397,2010-02-28,0.0,66,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
USC00519397,2010-03-01,0.01,70,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
USC00519397,2010-03-02,0.0,72,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
USC00519397,2010-03-03,0.0,73,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
USC00519397,2010-03-04,0.12,70,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
USC00519397,2010-03-05,0.08,71,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
USC00519397,2010-03-06,0.03,72,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
USC00519397,2010-03-07,0.0,72,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
USC00519397,2010-03-08,0.43,69,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
USC00519397,2010-03-09,0.06,70,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
USC00519397,2010-03-12,0.0,72,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
USC00519397,2010-03-13,0.0,73,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
USC00519397,2010-03-14,0.0,70,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
