city,driver_count,type
Tammyburgh,11,Urban
Melissaborough,15,Urban
Port Brianborough,62,Urban
New Katherine,68,Urban
Lake Charlesside,65,Urban
New Catherine,60,Urban
North Rachaelberg,35,Urban
North Sandra,43,Urban
Whitneyfurt,53,Urban
West Nathanville,62,Urban
New Christina,52,Urban
Brianfurt,4,Urban
West Robertchester,8,Urban
West Kennethland,23,Urban
New Shawnville,6,Urban
Michaelfurt,44,Urban
North Karenfort,51,Urban
New Jonathanberg,31,Urban
East Jermaine,29,Urban
Marychester,67,Urban
Port Stacyfort,59,Urban
North Audreyfort,36,Urban
Port Michael,73,Urban
Port Sandraport,46,Urban
Scottside,48,Urban
South Mary,20,Urban
Curtismouth,40,Urban
South John,24,Urban
Turnershire,23,Urban
Port Angelaberg,2,Urban
New Charlotte,33,Urban
Lake Robertstad,28,Urban
East Karenmouth,46,Urban
North Krystal,62,Urban
Lindseymouth,68,Urban
Suzanneborough,33,Urban
Thomashaven,60,Urban
Karenfurt,19,Urban
North Erikaport,14,Urban
Port Albert,2,Urban
Piercetown,16,Urban
New Timothy,69,Urban
New Robin,63,Urban
New Holly,28,Urban
South Mariahaven,52,Urban
Mcdonaldfort,12,Urban
East James,49,Urban
Alexisfort,24,Urban
Smithland,38,Urban
West Lanceview,17,Urban
Markborough,45,Urban
Catherinebury,7,Urban
Port Meghanton,22,Urban
Theresaland,69,Urban
Jamesbury,41,Urban
New Adrian,71,Urban
Joefort,22,Urban
Johnsonburgh,67,Urban
East Rose,7,Urban
New Jasonfort,64,Urban
Evansburgh,44,Urban
Floresbury,14,Urban
Mathewfurt,3,Urban
Jillmouth,42,Urban
Lake David,15,Urban
West Nancy,40,Urban
Hallmouth,10,Suburban
Marieview,17,Suburban
Davidbury,13,Suburban
Robertsonhaven,1,Suburban
West Darrellmouth,10,Suburban
North Vickifurt,25,Suburban
Williamsonville,3,Suburban
South Lisaport,11,Suburban
Kleinville,14,Suburban
Michelleside,24,Suburban
Lake Donna,20,Suburban
Port Bryan,20,Suburban
Heatherland,17,Suburban
Nguyenmouth,18,Suburban
Knightberg,24,Suburban
Lake Michaelport,21,Suburban
East April,9,Suburban
Boyleberg,13,Suburban
East Johnnyborough,15,Suburban
Anthonyfurt,17,Suburban
West Michaelfurt,27,Suburban
North Ernestfurt,23,Suburban
Lawrenceton,12,Suburban
New Justinport,11,Suburban
Lake Ryanchester,7,Suburban
Jamesland,22,Suburban
Pollardfort,12,Suburban
Fergusonburgh,11,Suburban
Gatesborough,5,Suburban
East Amanda,20,Suburban
New Ginahaven,18,Suburban
Elizabethland,20,Suburban
Xavierborough,8,Suburban
Adamschester,27,Suburban
Paulville,4,Suburban
Kaylaton,1,Suburban
Amberberg,13,Suburban
New Christopherfurt,25,Suburban
Port Joshuafort,10,Suburban
Hillstad,4,Suburban
Russellfurt,9,Suburban
Michaelchester,3,Suburban
Port Jameston,2,Rural
Campbellmouth,2,Rural
Joshuaview,1,Rural
South Samanthafurt,8,Rural
Nguyenshire,3,Rural
Smithville,8,Rural
Port Kenneth,1,Rural
Richardsonborough,9,Rural
North Paulshire,8,Rural
Lake Joshuaburgh,8,Rural
Davidsonfurt,1,Rural
South Angela,9,Rural
South Stephen,6,Rural
South Jacobside,7,Rural
Sheltonhaven,1,Rural
Port Darrellhaven,10,Rural
Hoganfort,5,Rural
South Brittany,9,Rural
