city,date,fare,ride_id
Karenfurt,2017-01-01 19:03:03,32.9,3383346995405
Melissaborough,2017-01-01 08:55:58,19.59,2791839504576
Port Sandraport,2017-01-01 16:21:54,31.04,3341437383289
Curtismouth,2017-01-03 06:36:53,15.12,6557246300691
Port Michael,2017-01-03 09:56:52,19.65,9887635746234
Mathewfurt,2017-01-01 10:14:32,31.13,7748828672001
New Shawnville,2017-01-02 02:22:33,33.5,2866006632892
Melissaborough,2017-01-02 18:40:34,17.73,6817245215298
Port Stacyfort,2017-01-03 12:25:25,30.22,4258832825186
Port Albert,2017-01-02 13:32:21,7.59,1130658609474
East James,2017-01-02 02:41:06,18.8,4329054820270
Lake Charlesside,2017-01-01 15:39:52,23.07,4878544652230
Port Sandraport,2017-01-03 04:45:50,21.76,3843410738487
Port Angelaberg,2017-01-01 18:06:47,36.96,1865832814077
North Sandra,2017-01-01 04:08:41,26.51,7756758482027
Theresaland,2017-01-02 14:29:52,8.25,1386713423930
New Katherine,2017-01-02 01:42:33,40.33,1451834829951
North Sandra,2017-01-01 09:23:55,4.13,3416962559635
Michaelfurt,2017-01-03 11:13:07,21.65,4271966692653
Port Brianborough,2017-01-01 07:45:22,22.24,4183092933909
New Jasonfort,2017-01-01 11:28:00,43.59,5153715514364
Marychester,2017-01-02 22:03:56,8.14,3140071741529
Floresbury,2017-01-02 18:27:27,6.26,4595703263693
New Catherine,2017-01-03 01:39:26,8.22,8821000905278
Lake Robertstad,2017-01-02 23:04:07,23.07,9867571439858
Marychester,2017-01-02 23:19:23,35.58,5373381903655
Port Angelaberg,2017-01-01 01:55:09,27.68,1460259070213
Evansburgh,2017-01-02 20:06:03,8.21,7884566155588
Markborough,2017-01-01 20:26:05,38.39,8027740349741
New Shawnville,2017-01-02 11:33:35,7.63,1493646380633
Mcdonaldfort,2017-01-01 06:03:07,4.42,2787410743007
Port Sandraport,2017-01-03 10:37:05,8.48,9892252929328
Lindseymouth,2017-01-01 18:17:01,18.0,9261975741584
New Shawnville,2017-01-02 08:23:13,26.93,7519718160706
East Karenmouth,2017-01-02 12:00:16,19.2,2953910664283
Port Angelaberg,2017-01-01 09:52:43,28.73,3839217574748
Floresbury,2017-01-03 07:39:05,14.76,0788676827656
New Jasonfort,2017-01-02 02:22:11,24.76,6752578859392
Port Sandraport,2017-01-01 11:41:43,21.77,3347023279332
East James,2017-01-03 04:19:13,36.29,5510082409912
West Nathanville,2017-01-01 12:07:41,5.3,6570385188593
Port Sandraport,2017-01-02 12:59:42,15.65,4578609149964
New Adrian,2017-01-01 07:48:15,23.63,8852916430394
New Robin,2017-01-01 23:37:19,30.34,4352826490371
Karenfurt,2017-01-01 05:30:46,22.47,0018848561829
Lake Charlesside,2017-01-02 02:47:34,20.66,4886786936926
Mcdonaldfort,2017-01-03 06:21:28,17.39,6168784022169
Evansburgh,2017-01-02 22:00:10,8.23,7996974568246
Suzanneborough,2017-01-03 05:21:56,23.48,6562082224186
North Rachaelberg,2017-01-01 18:35:14,5.07,5359238062119
East Karenmouth,2017-01-02 02:45:55,7.54,9724426068055
Port Michael,2017-01-03 01:39:57,32.0,1542298332702
Smithland,2017-01-01 08:49:58,25.12,6418741337851
Evansburgh,2017-01-01 01:10:13,4.94,0267656109024
Lindseymouth,2017-01-03 07:39:17,20.96,2433574839130
New Adrian,2017-01-02 14:30:21,10.13,8033598120357
Lindseymouth,2017-01-01 18:43:28,13.01,2609618581598
New Jonathanberg,2017-01-01 17:17:55,39.04,4247790834163
Scottside,2017-01-02 04:02:10,36.69,7132047741905
Smithland,2017-01-01 12:20:49,6.57,3361456329792
Port Albert,2017-01-02 22:02:58,7.91,5839653246870
New Catherine,2017-01-02 03:53:04,41.94,5120593036868
Scottside,2017-01-01 02:35:18,11.95,8260728695595
Scottside,2017-01-02 16:24:05,42.7,8224987069313
Port Sandraport,2017-01-01 17:31:37,11.28,6160768478948
Evansburgh,2017-01-02 03:05:11,31.37,4515494841467
Michaelfurt,2017-01-01 06:11:30,34.09,5390121114294
Lake Charlesside,2017-01-01 09:59:45,23.92,5620659212101
North Audreyfort,2017-01-01 03:05:47,30.39,7743435882744
North Audreyfort,2017-01-01 07:01:55,7.17,2064307753715
South Mariahaven,2017-01-02 15:34:01,29.1,1086117599780
Port Michael,2017-01-01 23:18:47,21.89,4042781275549
Alexisfort,2017-01-03 10:11:14,27.37,0770040289467
Michaelfurt,2017-01-03 03:41:12,43.6,8140225429933
Turnershire,2017-01-02 07:01:03,34.67,4832132033931
Lake Charlesside,2017-01-02 20:40:13,17.42,1478992006475
Piercetown,2017-01-01 10:42:03,15.92,2149285719813
Port Brianborough,2017-01-02 01:14:04,27.93,5191020595586
South Mary,2017-01-03 09:12:05,30.67,5539414943108
Michaelfurt,2017-01-02 13:50:07,13.02,3069757720040
North Krystal,2017-01-02 01:51:28,21.41,5817857467864
Michaelfurt,2017-01-01 06:04:47,8.83,0577655562448
North Rachaelberg,2017-01-01 20:11:54,25.62,1248954411919
Port Meghanton,2017-01-01 03:17:53,42.46,5440081362881
Lake David,2017-01-01 16:00:48,6.41,9402577393652
West Robertchester,2017-01-02 09:27:09,9.16,5171317560732
Johnsonburgh,2017-01-03 01:51:38,41.92,8322960931401
North Rachaelberg,2017-01-02 23:00:10,4.79,9782374036014
Whitneyfurt,2017-01-02 06:08:05,44.96,9108772607555
North Krystal,2017-01-01 10:34:58,32.56,1647447561528
West Nathanville,2017-01-01 00:58:11,31.34,5588887289909
Lake Robertstad,2017-01-01 11:58:46,39.66,1528830986961
Curtismouth,2017-01-02 05:32:23,5.98,7902000217545
Evansburgh,2017-01-03 01:46:20,13.05,9743165681110
Curtismouth,2017-01-03 05:15:12,16.35,2566157613183
Marychester,2017-01-03 08:54:07,28.06,2797260069387
West Lanceview,2017-01-01 07:45:30,26.94,2156805388824
New Adrian,2017-01-01 17:35:43,17.25,7770857606603
South John,2017-01-02 07:53:40,32.83,8974787063553
West Robertchester,2017-01-03 01:36:58,25.15,3395351988082
Johnsonburgh,2017-01-01 05:04:50,28.6,7714828584668
Scottside,2017-01-01 10:01:29,10.57,8998031613103
Piercetown,2017-01-03 06:52:39,19.1,5130020737077
Curtismouth,2017-01-03 03:46:02,14.7,9877136390739
Marychester,2017-01-02 03:11:46,4.65,0889583139488
New Katherine,2017-01-03 10:30:48,7.73,9631639991776
New Shawnville,2017-01-03 00:17:33,17.59,1585139042262
Thomashaven,2017-01-02 13:45:53,13.74,1903992548613
Alexisfort,2017-01-03 04:31:15,27.3,9306230206870
Curtismouth,2017-01-01 05:16:21,4.19,7753874784134
East Karenmouth,2017-01-02 05:15:21,25.69,7191844030407
Brianfurt,2017-01-02 19:22:11,10.85,7695547992142
Scottside,2017-01-02 04:38:58,36.3,4076246729810
Curtismouth,2017-01-02 15:32:36,43.92,7242201569334
Port Meghanton,2017-01-01 09:19:18,10.85,3443060465926
Theresaland,2017-01-03 05:11:09,32.71,9154207191373
Michaelfurt,2017-01-01 16:30:25,44.55,2232535734244
Brianfurt,2017-01-02 15:15:44,26.85,4784141827127
Port Angelaberg,2017-01-02 00:44:56,41.16,9333351977709
Jillmouth,2017-01-01 06:29:10,4.78,4429855143049
New Jasonfort,2017-01-02 18:04:30,11.86,1574303519945
New Timothy,2017-01-02 01:10:28,17.35,0383339997402
Karenfurt,2017-01-02 21:58:48,4.73,7929949609958
Lake Robertstad,2017-01-01 03:15:52,13.64,9367100741822
Mathewfurt,2017-01-01 11:41:01,28.29,7540968508307
New Shawnville,2017-01-01 07:31:59,41.96,0991151975586
North Krystal,2017-01-03 05:48:03,10.92,7471842061826
South John,2017-01-01 11:55:32,21.96,8769833691015
North Karenfort,2017-01-01 07:35:57,44.96,2311459674703
Markborough,2017-01-01 21:55:36,14.97,5615138894480
East James,2017-01-03 01:22:51,42.2,5588235275530
North Audreyfort,2017-01-02 11:53:47,5.32,9495097011922
Port Stacyfort,2017-01-01 12:39:02,19.9,9303257046014
Suzanneborough,2017-01-01 07:54:57,43.33,4418298537720
Tammyburgh,2017-01-02 10:56:28,12.4,7963408790849
Catherinebury,2017-01-01 10:14:49,33.44,2798058542242
Floresbury,2017-01-02 09:37:08,5.54,3832312701118
North Rachaelberg,2017-01-02 09:53:07,41.22,7953137689453
Markborough,2017-01-02 08:41:19,22.6,8062567576840
West Nathanville,2017-01-02 19:48:57,43.24,9640427499585
North Krystal,2017-01-01 02:25:57,30.69,5773856939521
Port Michael,2017-01-01 21:03:09,19.79,0485771955719
East Jermaine,2017-01-03 06:51:03,42.2,5570187149762
Port Brianborough,2017-01-02 19:45:36,43.22,4139286443266
West Robertchester,2017-01-03 05:13:39,31.75,5415148155591
Mcdonaldfort,2017-01-03 09:55:28,25.1,1107020484472
Port Michael,2017-01-02 13:46:15,12.26,4972815585149
East Jermaine,2017-01-02 00:29:02,44.31,3143759767521
Mathewfurt,2017-01-01 10:44:23,39.58,5321075459988
New Timothy,2017-01-01 17:12:31,19.56,9159921714358
North Audreyfort,2017-01-01 07:38:49,17.98,4277440461265
Scottside,2017-01-03 02:20:53,40.71,7789981848803
Port Stacyfort,2017-01-01 18:15:16,8.73,7947966781976
East Karenmouth,2017-01-02 13:58:12,29.17,3571134872735
Port Meghanton,2017-01-02 22:08:44,10.79,2251583168733
Floresbury,2017-01-03 06:45:45,34.28,8128853773543
Port Angelaberg,2017-01-02 12:20:03,15.33,8356935786628
West Lanceview,2017-01-01 09:08:48,8.38,5212528070792
North Rachaelberg,2017-01-02 17:06:36,20.91,2069071731631
New Charlotte,2017-01-01 17:21:04,10.41,2678228528248
New Jonathanberg,2017-01-02 11:23:59,14.88,5514070371335
Lake Robertstad,2017-01-02 10:06:29,42.1,4397476009269
South Mary,2017-01-01 00:36:51,8.74,1722013827854
New Katherine,2017-01-03 10:06:06,37.92,1105517706526
Theresaland,2017-01-01 19:31:31,28.25,1963194736621
Port Albert,2017-01-02 09:41:43,21.33,3197196094450
Floresbury,2017-01-02 08:49:55,25.06,1925905745889
New Robin,2017-01-03 03:27:24,36.52,4675988299645
Theresaland,2017-01-01 11:16:33,18.78,3354804696332
New Shawnville,2017-01-03 00:39:17,36.11,1239101677241
Melissaborough,2017-01-02 04:37:01,20.88,3220484578919
Smithland,2017-01-03 03:44:37,18.49,4797262677434
Joefort,2017-01-02 19:17:02,23.42,5818812516580
Theresaland,2017-01-01 12:04:13,21.61,2292937250933
Evansburgh,2017-01-02 19:49:28,31.68,6702230146902
Markborough,2017-01-01 14:10:26,31.96,6585441650426
Catherinebury,2017-01-02 21:07:14,44.9,4769706059960
Port Albert,2017-01-01 19:01:46,39.25,1414295915250
Lake Charlesside,2017-01-01 08:51:23,9.73,1652137353840
New Charlotte,2017-01-01 15:33:44,7.28,7944797950397
Jillmouth,2017-01-02 00:45:37,14.79,0929460277053
Port Angelaberg,2017-01-01 09:37:21,29.45,0040158052131
New Adrian,2017-01-02 23:34:28,27.21,1173669580745
Port Brianborough,2017-01-03 04:10:34,29.21,4771130109739
South John,2017-01-03 12:25:47,40.87,1826319508414
Suzanneborough,2017-01-02 05:58:02,25.35,7107517227920
Lake David,2017-01-02 23:42:32,35.76,5817878254023
Mathewfurt,2017-01-01 18:14:20,23.62,5269581110330
East Karenmouth,2017-01-01 06:44:33,36.66,3584321193674
Marychester,2017-01-02 19:55:44,30.44,4702978037830
Lindseymouth,2017-01-03 09:28:11,29.97,3243051019967
New Jasonfort,2017-01-01 08:04:19,12.03,7395871421225
North Rachaelberg,2017-01-02 11:00:12,29.53,8340583788417
Melissaborough,2017-01-01 00:09:46,26.12,7153857415916
New Katherine,2017-01-01 00:54:44,32.48,7416835714464
Port Brianborough,2017-01-01 16:25:04,38.63,5201827629749
Catherinebury,2017-01-01 04:02:41,24.71,7212250584190
