Type,Rating,Latitude,Longitude,Year,Magnitude,Mass,VEI
Volcano,5,41.98,128.08,1000.0,,,7.0
Volcano,5,30.78,130.28,-4350.0,,,7.0
Volcano,5,-8.25,118.0,1815.0,,,7.0
Volcano,5,-30.2,-178.47,-4360.0,,,6.0
Volcano,5,-4.271,152.203,540.0,,,6.0
Volcano,5,-0.85,-78.9,1280.0,,,6.0
Volcano,5,61.38,-141.75,60.0,,,6.0
Volcano,5,-6.0920000000000005,155.225,1580.0,,,6.0
Volcano,5,-38.82,176.0,230.0,,,6.0
Volcano,5,51.8,157.53,240.0,,,6.0
Volcano,5,13.672,-89.053,450.0,,,6.0
Volcano,5,-16.829,168.53599999999997,1452.0,,,6.0
Volcano,5,12.242,-86.34200000000001,-50.0,,,6.0
Volcano,5,-5.58,150.52,710.0,,,6.0
Volcano,5,-16.608,-70.85,1600.0,,,6.0
Volcano,5,61.38,-141.75,800.0,,,6.0
Volcano,5,-5.056,150.108,800.0,,,6.0
Volcano,5,21.125,-104.508,930.0,,,6.0
Volcano,5,-5.358,147.12,1660.0,,,6.0
Volcano,5,58.27,-155.16,1912.0,,,6.0
Volcano,5,-16.25,168.12,50.0,,,6.0
Volcano,5,53.42,-168.13,-100.0,,,6.0
Volcano,5,46.2,-122.18,-1860.0,,,6.0
Volcano,5,11.984000000000002,-86.161,-4050.0,,,6.0
Volcano,5,-5.58,150.52,-4000.0,,,6.0
Volcano,5,14.002,120.993,-3580.0,,,6.0
Volcano,5,15.13,120.35,-3550.0,,,6.0
Volcano,5,-6.102,105.42299999999999,1883.0,,,6.0
Volcano,5,-5.358,147.12,-2040.0,,,6.0
Volcano,5,14.755999999999998,-91.552,1902.0,,,6.0
Volcano,5,56.53,-158.8,-1900.0,,,6.0
Volcano,5,56.17,-159.38,-1750.0,,,6.0
Volcano,5,56.88,-158.17,-1645.0,,,6.0
Volcano,5,36.404,25.396,-1610.0,,,6.0
Volcano,5,-38.82,176.0,-1460.0,,,6.0
Volcano,5,-5.58,150.52,-1370.0,,,6.0
Volcano,5,15.13,120.35,-1050.0,,,6.0
Volcano,5,64.63,-17.53,1477.0,,,6.0
Volcano,5,-29.27,-177.92,-250.0,,,6.0
Volcano,5,15.13,120.35,1991.0,,,6.0
Volcano,4,-7.93,112.30799999999999,1586.0,,,5.0
Volcano,4,-8.125,114.042,1593.0,,,5.0
Volcano,4,63.63,-19.05,1625.0,,,5.0
Volcano,4,40.821,14.425999999999998,1631.0,,,5.0
Volcano,4,42.07,140.68,1640.0,,,5.0
Volcano,4,42.53,140.83,1663.0,,,5.0
Volcano,4,-45.9,-72.97,1991.0,,,5.0
Volcano,4,12.98,-87.57,1835.0,,,5.0
Volcano,4,1.375,127.52,1673.0,,,5.0
Volcano,4,17.36,-93.228,1982.0,,,5.0
Volcano,4,63.63,-19.05,1721.0,,,5.0
Volcano,4,17.36,-93.228,1982.0,,,5.0
Volcano,4,46.2,-122.18,1980.0,,,5.0
Volcano,4,46.2,-122.18,1800.0,,,5.0
Volcano,4,-8.342,115.508,1963.0,,,5.0
Volcano,4,-7.25,108.05,1822.0,,,5.0
Volcano,4,55.978,160.58700000000002,1956.0,,,5.0
Volcano,4,56.653,161.36,1854.0,,,5.0
Volcano,4,65.03,-16.75,1875.0,,,5.0
Volcano,4,31.58,130.67,1471.0,,,5.0
Volcano,4,17.36,-93.228,1982.0,,,5.0
Volcano,4,63.98,-19.7,1104.0,,,5.0
Volcano,4,17.36,-93.228,1375.0,,,5.0
Volcano,4,40.821,14.425999999999998,79.0,,,5.0
Volcano,4,-1.4669999999999999,-78.442,-1010.0,,,5.0
Volcano,4,64.0,-16.65,1362.0,,,5.0
Volcano,4,40.821,14.425999999999998,-2420.0,,,5.0
Volcano,3,-8.125,114.042,1817.0,,,4.0
Volcano,3,63.63,-19.05,920.0,,,4.0
Volcano,3,13.257,123.685,1814.0,,,4.0
Volcano,3,13.33,-61.18,1812.0,,,4.0
Volcano,3,31.58,130.67,1780.0,,,4.0
Volcano,3,14.002,120.993,1965.0,,,4.0
Volcano,3,-7.93,112.30799999999999,1966.0,,,4.0
Volcano,3,3.67,125.5,1966.0,,,4.0
Volcano,3,-2.7510000000000003,35.902,1966.0,,,4.0
Volcano,3,19.514,-103.62,1818.0,,,4.0
Volcano,3,63.63,-19.05,934.0,,,4.0
Volcano,3,19.425,-155.292,1790.0,,,4.0
Volcano,3,64.42,-17.33,1784.0,,,4.0
Volcano,3,36.4,138.53,1783.0,,,4.0
Volcano,3,-4.1,145.061,2004.0,,,4.0
Volcano,3,31.58,130.67,1779.0,,,4.0
Volcano,3,31.58,130.67,1780.0,,,4.0
Volcano,3,31.58,130.67,764.0,,,4.0
Volcano,3,48.292,153.25,1778.0,,,4.0
Volcano,3,14.472999999999999,-90.88,1974.0,,,4.0
Volcano,3,-0.677,-78.436,1768.0,,,4.0
Volcano,3,63.98,-19.7,1766.0,,,4.0
Volcano,3,0.32,127.4,1760.0,,,4.0
Volcano,3,63.63,-19.05,1755.0,,,4.0
Volcano,3,14.002,120.993,1754.0,,,4.0
Volcano,3,41.5,139.37,1741.0,,,4.0
Volcano,3,-40.59,-72.117,2011.0,,,4.0
Volcano,3,64.0,-16.65,1727.0,,,4.0
Volcano,3,-7.25,108.05,1982.0,,,4.0
Volcano,3,63.98,-19.7,1158.0,,,4.0
Volcano,3,-1.4669999999999999,-78.442,2011.0,,,4.0
Volcano,3,42.53,140.83,1822.0,,,4.0
Volcano,3,63.98,-19.7,1947.0,,,4.0
Volcano,3,-40.35,-72.07,1955.0,,,4.0
Volcano,3,-8.95,148.15,1951.0,,,4.0
Volcano,3,59.37,-153.42,1883.0,,,4.0
Volcano,3,-15.6,-175.63,1886.0,,,4.0
Volcano,3,37.6,140.08,1888.0,,,4.0
Volcano,3,-0.677,-78.436,1877.0,,,4.0
Volcano,3,-41.326,-72.61399999999999,1893.0,,,4.0
Volcano,3,1.47,-76.92,1899.0,,,4.0
Volcano,3,48.875,154.175,1872.0,,,4.0
Volcano,3,13.33,-61.18,1902.0,,,4.0
Volcano,3,-7.542000000000001,110.44200000000001,1872.0,,,4.0
Volcano,3,14.82,-61.17,1902.0,,,4.0
Volcano,3,-7.542000000000001,110.44200000000001,1872.0,,,4.0
Volcano,3,-7.542000000000001,110.44200000000001,1872.0,,,4.0
Volcano,3,-0.677,-78.436,-455.0,,,4.0
Volcano,3,14.82,-61.17,1902.0,,,4.0
Volcano,3,19.514,-103.62,1913.0,,,4.0
Volcano,3,31.58,130.67,1914.0,,,4.0
Volcano,3,-1.4669999999999999,-78.442,1916.0,,,4.0
Volcano,3,0.32,127.4,1861.0,,,4.0
Volcano,3,63.63,-19.05,1918.0,,,4.0
Volcano,3,42.07,140.68,1856.0,,,4.0
Volcano,3,-7.93,112.30799999999999,1919.0,,,4.0
Volcano,3,42.07,140.68,1929.0,,,4.0
Volcano,3,63.98,-19.7,1845.0,,,4.0
Volcano,3,14.472999999999999,-90.88,1932.0,,,4.0
Volcano,3,30.43,130.22,1933.0,,,4.0
Volcano,3,-4.271,152.203,1937.0,,,4.0
Volcano,3,19.48,-102.25,1943.0,,,4.0
Volcano,3,48.092,153.2,1946.0,,,4.0
Volcano,3,14.002,120.993,1716.0,,,4.0
Volcano,3,-0.17,121.60799999999999,1983.0,,,4.0
Volcano,3,31.58,130.67,1781.0,,,4.0
Volcano,3,-1.4669999999999999,-78.442,1886.0,,,4.0
Volcano,3,36.404,25.396,1650.0,,,4.0
Volcano,3,63.63,-19.05,1580.0,,,4.0
Volcano,3,-8.125,114.042,1638.0,,,4.0
Volcano,3,14.472999999999999,-90.88,1581.0,,,4.0
Volcano,3,56.653,161.36,1999.0,,,4.0
Volcano,3,61.3,-152.25,1992.0,,,4.0
Volcano,3,63.63,-19.05,1357.0,,,4.0
